gem_id,gem_parent_id,source_language,target_language,source,target,references
wikilingua_crosslingual-train-2561062,wikilingua_crosslingual-train-2561062,fr,en,"Relevez vos frites de patates douces avec du sel, du poivre ou encore un mélange d’épices de votre choix. Servez‑les avec du ketchup, de la mayonnaise, du guacamole  ou l’une de vos propres recettes. S’il vous reste des frites, conservez‑les au réfrigérateur dans un récipient hermétiquement fermé. Vous pouvez ainsi les garder jusqu’à cinq jours.","Season the fries with salt, if desired, and serve them.","['Season the fries with salt, if desired, and serve them.']"
wikilingua_crosslingual-train-2561063,wikilingua_crosslingual-train-2561063,en,fr,"You can season the fries with regular salt, Old Bay seasoning, or even Cajun seasoning. Serve them with your favorite dipping sauce, like ketchup or ranch. If you have leftovers, store them in an airtight container in the fridge for up to 5 days.",Assaisonnez et servez vos frites.,['Assaisonnez et servez vos frites.']
wikilingua_crosslingual-train-2561080,wikilingua_crosslingual-train-2561080,fr,en,"Comme vous n’avez jamais été embrassé, vous pourrez avoir des difficultés à détecter les indices dans sa communication non verbale. Vous pourriez dire par exemple :   « l’unique chose que je désire en ce moment est de t’embrasser », « je veux te prouver à quel point tu comptes à mes yeux », « puis-je te donner un baiser de bonne nuit ? »",Go ahead and ask. Be creative and ask in a way that puts her at ease.,['Go ahead and ask. Be creative and ask in a way that puts her at ease.']
wikilingua_crosslingual-train-2561081,wikilingua_crosslingual-train-2561081,en,fr,"Since you've never been kissed, you may find it difficult to read your girl's non-verbal cues. A few prompts would be:  I really want to kiss you right now... I want to show you just how much you mean to me... Can I kiss you goodnight?","Allez de l’avant, demandez-lui. Soyez créatif et demandez-lui d’une manière qui la mettra à l’aise.","['Allez de l’avant, demandez-lui. Soyez créatif et demandez-lui d’une manière qui la mettra à l’aise.']"
wikilingua_crosslingual-train-2561136,wikilingua_crosslingual-train-2561136,fr,en,120 à 180 ml de bière légère (Corona est un bon choix) ; 240 ml de téquila gold (la version blanco ne se mélange pas bien à la bière) ; du triple sec selon vos préférences (plus il est sucré et mieux c’est) ; le jus d’un quart ou d’un demi-citron vert ; 1 cuillère à soupe de sucre ; de l’eau gazeuse ; de la glace pilée.,Gather your ingredients:,['Gather your ingredients:']
wikilingua_crosslingual-train-2561137,wikilingua_crosslingual-train-2561137,en,fr,1/2 to 3/4 cup light beer (Corona is a good choice) 1 cup gold tequila (the white versions don’t mix well with beer) triple sec to taste (the sweeter the better) juice from 1/4 to 1/2 of a lime 1 tbsp sugar carbonated water chipped ice,Procurez-vous les ingrédients nécessaires :,['Procurez-vous les ingrédients nécessaires\xa0:']
wikilingua_crosslingual-train-2561138,wikilingua_crosslingual-train-2561138,fr,en,Positionnez une demi-grenade au-dessus d’un bol en orientant les graines exposées vers le bas. Tenez-la par le côté ou posez-la sur votre paume et écartez les doigts. Utilisez un bol moyen ou grand. Il doit être suffisamment grand pour que tous les arilles tombent à l’intérieur.,"Place one half, seed side down, over a bowl.","['Place one half, seed side down, over a bowl.']"
wikilingua_crosslingual-train-2561139,wikilingua_crosslingual-train-2561139,en,fr,Hold the pomegranate by the side or place it in your splayed palm. Position the fruit over a medium to large bowl that's big enough to catch the seeds as they fall.,Tenez une moitié.,['Tenez une moitié.']
wikilingua_crosslingual-train-2561148,wikilingua_crosslingual-train-2561148,fr,en,"Pliez la corde de gauche de façon à ce que l’extrémité croise le milieu en formant une boucle.   Commencez avec un lien dans chaque main (comme dans la première méthode) et repliez celui de gauche sur lui-même pour obtenir une boucle assez grande. Cette méthode permet de réaliser un nœud identique à celui dans la méthode ci-dessus. Là aussi, vous pouvez commencer par réaliser la boucle avec la corde de droite et inverser les côtés dans toutes les étapes pour obtenir le même résultat.",Double up the left-hand rope to make a loop.,['Double up the left-hand rope to make a loop.']
wikilingua_crosslingual-train-2561149,wikilingua_crosslingual-train-2561149,en,fr,"Start with one rope in each hand (as you would in the method above) and fold the left-hand rope on top of itself to make a good-sized loop. This method will make a knot that's identical to the one in the method above. As above, you can make a loop with the right-hand rope and reverse the directions to get the same knot.",Formez une boucle.,['Formez une boucle.']
wikilingua_crosslingual-train-2561222,wikilingua_crosslingual-train-2561222,fr,en,"Vous pouvez acheter cela dans la pharmacie de votre localité, dans les boutiques d’art et d’artisanat ou chez un vendeur en détail de produits soldés. Veillez à vous procurer un marqueur effaçable à sec noir et non un feutre en couleur. N’oubliez pas de faire d’abord l’essai sur une petite partie discrète avant de l’appliquer sur les grands espaces affectés.",Purchase a black dry erase marker.,['Purchase a black dry erase marker.']
wikilingua_crosslingual-train-2561223,wikilingua_crosslingual-train-2561223,en,fr,"You can purchase dry erase markers from your local pharmacy, arts and crafts store, or discounted retailer. Make sure to purchase a black dry erase marker as opposed to a colored one. Remember to test a small, hidden area first before using it on larger, affected areas.",Procurez-vous un marqueur effaçable à sec.,['Procurez-vous un marqueur effaçable à sec.']
wikilingua_crosslingual-train-2561242,wikilingua_crosslingual-train-2561242,fr,en,"C'est à vous de décider si vous voulez un bouton en pierre ou en bois. Choisissez le matériau qui vous convient.  Les pierres se trouvent en creusant le sol. Dans ce cas, vous aurez besoin d'une pioche Silk touch. Sinon, il suffit de creuser pour trouver des gravats, vous les mettez au four et vous obtenez de la pierre. Les planches en bois sont fabriquées avec… du bois.",Get one stone or one wood plank.,['Get one stone or one wood plank.']
wikilingua_crosslingual-train-2561243,wikilingua_crosslingual-train-2561243,en,fr,"Decide whether you want a wood button or a stone button, then choose the appropriate material.  Stone is found by mining underground. If mining, you need a silk touch pickaxe. Or, you can just mine regular cobblestone, add to a furnace and it'll make the stone that you require. Wood planks are crafted from tree wood. To get tree wood, just search for some in a nearby forest.",Récupérez une pierre ou une planche de bois.,['Récupérez une pierre ou une planche de bois.']
wikilingua_crosslingual-train-2561259,wikilingua_crosslingual-train-2561259,en,fr,"The best place to work is outside. If you can't work outside, open up a window or turn on a fan. Bleach can get stinky and cause headaches if you don't have enough fresh air. Spread some newspapers, a plastic tablecloth, or some old towels over your work surface. This will help protect it from getting stained. If your shoes are dirty, you may not see the effects of the bleach as well. If necessary, wash your shoes in a bucket of soap and water, and let them dry.",Travaillez dans une pièce bien aérée. Protégez votre surface de travail. Travaillez avec des chaussures propres.,['Travaillez dans une pièce bien aérée. Protégez votre surface de travail. Travaillez avec des chaussures propres.']
wikilingua_crosslingual-train-2561272,wikilingua_crosslingual-train-2561272,fr,en,"La pâte à frire à la bière est lisse et croustillante. Elle est parfaite pour les beignets de poisson, d’ognon et d’autres légumes. Assurez-vous que tous les morceaux que vous allez faire cuire font à peu près la même taille afin d’obtenir une cuisson homogène.",Prepare the food you want to fry.,['Prepare the food you want to fry.']
wikilingua_crosslingual-train-2561273,wikilingua_crosslingual-train-2561273,en,fr,"Beer batter comes out crispy and smooth. It's the perfect coating for fish, onion rings and other vegetables. Make sure all food pieces that you want to fry are cut into similar-sized pieces, so they'll fry evenly.",Préparer la nourriture.,['Préparer la nourriture.']
wikilingua_crosslingual-train-2561449,wikilingua_crosslingual-train-2561449,en,fr,"When you want to make instant pudding, stir ½ cup (96 grams) of the mixture into 2 cups (475 milliliters) of milk. Cook in a saucepan over high heat, stirring constantly. When it starts to boil, reduce the heat to a simmer. Keep stirring, and cook for 3 to 5 minutes, or until it thickens. Pour into a serving bowl, and let it set for 5 minutes. You can serve this hot or chilled. If the vanilla beans get into the pudding, pick them out with a fork after you cook the pudding, and discard them.",Conservez la préparation dans un endroit sec et frais.,['Conservez la préparation dans un endroit sec et frais.']
wikilingua_crosslingual-train-2561724,wikilingua_crosslingual-train-2561724,fr,en,"Par exemple, si vous gagnez 200 € en vendant 100 canettes de soda et que leur cout de revient était de 100 €, votre profit brut sera de 100 €. Multipliez ce nombre par 100 pour obtenir un pourcentage, plutôt qu'un nombre à virgules. Par exemple, divisez 100 € par 100 € et vous obtiendrez 1. Si vous multipliez par 100, vous obtiendrez un pourcentage de profit brut de 100 pour cent.",Subtract the cost of goods sold from the total revenue generated by the goods. Divide the gross profit by the cost of goods sold.,['Subtract the cost of goods sold from the total revenue generated by the goods. Divide the gross profit by the cost of goods sold.']
wikilingua_crosslingual-train-2561725,wikilingua_crosslingual-train-2561725,en,fr,"For example, if you made $200 selling 100 cans of soda and the cost of the goods sold was $100, then your gross profit would be $100. Multiply the number by 100 to get a percentage, rather than a decimal. For example, divide $100 by $100 and the figure is 1. If you multiply it by 100, you get a gross profit percentage of 100 percent.",Soustrayez le cout de revient du revenu total généré par les produits. Divisez le profit brut par le cout de revient.,['Soustrayez le cout de revient du revenu total généré par les produits. Divisez le profit brut par le cout de revient.']
wikilingua_crosslingual-train-2561730,wikilingua_crosslingual-train-2561730,fr,en,"En utilisation régulière, l'huile d'argan peut réduire les effets du vieillissement cutané. Massez simplement l'huile sur votre visage et vous verrez votre peau se régénérer au fil du temps. Pour faire disparaitre une cicatrice, massez doucement votre peau avec de l'huile d'argan. Vous devrez alors vous assurer que l'huile que vous utilisez est pure . En appliquant une bonne quantité d'huile d'argan sur les zones de votre corps où vous avez des vergetures, celles-ci seront de moins en moins visibles .",Apply argan oil to wrinkles to hydrate the skin and reduce wrinkles. Heal damaged skin with argan oil. Use argan oil to treat stretch marks.,['Apply argan oil to wrinkles to hydrate the skin and reduce wrinkles. Heal damaged skin with argan oil. Use argan oil to treat stretch marks.']
wikilingua_crosslingual-train-2561731,wikilingua_crosslingual-train-2561731,en,fr,The effects of aging can be reduced with regular use. Simply rub the oil into the area and you will see improvement over time. Rub argan oil into damaged skin periodically to reduce scarring. You must be sure the oil you use is pure. Applying argan oil generously to areas where you have stretch marks can dramatically improve their appearance.,Appliquez l'huile d'argan sur votre visage afin de réhydrater votre peau et de réduire vos rides. Soignez une peau irritée avec de l'huile d'argan. Traitez vos vergetures avec de l'huile d'argan.,"[""Appliquez l'huile d'argan sur votre visage afin de réhydrater votre peau et de réduire vos rides. Soignez une peau irritée avec de l'huile d'argan. Traitez vos vergetures avec de l'huile d'argan.""]"
wikilingua_crosslingual-train-2561860,wikilingua_crosslingual-train-2561860,fr,en,"Massez doucement chaque partie de votre visage une nouvelle fois avant de terminer le massage. À la fin, vous devriez vous sentir plus calme et détendu.",Finish by going back over each area once more.,['Finish by going back over each area once more.']
wikilingua_crosslingual-train-2561861,wikilingua_crosslingual-train-2561861,en,fr,"Gently massage each part of your face again to end your massage. By the end, you should feel relaxed and calm.",Terminez en revenant une nouvelle fois sur chaque zone.,['Terminez en revenant une nouvelle fois sur chaque zone.']
wikilingua_crosslingual-train-2561912,wikilingua_crosslingual-train-2561912,fr,en,Vous devez voir l'envers du papier et son endroit (la face décorée) doit être posé sur la table.,Lay the paper down on its decorative side.,['Lay the paper down on its decorative side.']
